Claim ID: 1 	|| Coords.: 151,671 	|| Size: 11x15
Claim ID: 2 	|| Coords.: 887,913 	|| Size: 28x22
Claim ID: 3 	|| Coords.: 808,917 	|| Size: 17x11
Claim ID: 4 	|| Coords.: 727,230 	|| Size: 26x26
Claim ID: 5 	|| Coords.: 638,853 	|| Size: 21x20
Claim ID: 6 	|| Coords.: 713,106 	|| Size: 17x18
Claim ID: 7 	|| Coords.: 745,709 	|| Size: 18x15
Claim ID: 8 	|| Coords.: 550,92 	|| Size: 29x19
Claim ID: 9 	|| Coords.: 389,659 	|| Size: 26x24
Claim ID: 10 	|| Coords.: 501,813 	|| Size: 27x29
Claim ID: 11 	|| Coords.: 568,365 	|| Size: 26x19
Claim ID: 12 	|| Coords.: 719,695 	|| Size: 19x10
Claim ID: 13 	|| Coords.: 678,843 	|| Size: 13x11
Claim ID: 14 	|| Coords.: 157,147 	|| Size: 22x25
Claim ID: 15 	|| Coords.: 661,901 	|| Size: 14x28
Claim ID: 16 	|| Coords.: 84,265 	|| Size: 26x22
Claim ID: 17 	|| Coords.: 258,382 	|| Size: 10x26
Claim ID: 18 	|| Coords.: 272,458 	|| Size: 18x21
Claim ID: 19 	|| Coords.: 737,335 	|| Size: 28x22
Claim ID: 20 	|| Coords.: 273,698 	|| Size: 24x11
Claim ID: 21 	|| Coords.: 766,190 	|| Size: 24x13
Claim ID: 22 	|| Coords.: 165,472 	|| Size: 28x24
Claim ID: 23 	|| Coords.: 411,285 	|| Size: 14x21
Claim ID: 24 	|| Coords.: 229,280 	|| Size: 21x25
Claim ID: 25 	|| Coords.: 334,338 	|| Size: 14x12
Claim ID: 26 	|| Coords.: 826,803 	|| Size: 18x26
Claim ID: 27 	|| Coords.: 867,508 	|| Size: 16x15
Claim ID: 28 	|| Coords.: 437,755 	|| Size: 16x20
Claim ID: 29 	|| Coords.: 361,507 	|| Size: 14x29
Claim ID: 30 	|| Coords.: 276,667 	|| Size: 23x25
Claim ID: 31 	|| Coords.: 649,765 	|| Size: 20x20
Claim ID: 32 	|| Coords.: 347,635 	|| Size: 15x24
Claim ID: 33 	|| Coords.: 954,333 	|| Size: 23x25
Claim ID: 34 	|| Coords.: 93,131 	|| Size: 25x19
Claim ID: 35 	|| Coords.: 454,388 	|| Size: 14x28
Claim ID: 36 	|| Coords.: 582,39 	|| Size: 24x25
Claim ID: 37 	|| Coords.: 211,97 	|| Size: 14x13
Claim ID: 38 	|| Coords.: 481,346 	|| Size: 10x12
Claim ID: 39 	|| Coords.: 395,917 	|| Size: 14x18
Claim ID: 40 	|| Coords.: 404,364 	|| Size: 22x16
Claim ID: 41 	|| Coords.: 275,49 	|| Size: 11x11
Claim ID: 42 	|| Coords.: 667,904 	|| Size: 19x26
Claim ID: 43 	|| Coords.: 519,564 	|| Size: 21x23
Claim ID: 44 	|| Coords.: 65,674 	|| Size: 29x10
Claim ID: 45 	|| Coords.: 737,610 	|| Size: 8x7
Claim ID: 46 	|| Coords.: 410,121 	|| Size: 14x27
Claim ID: 47 	|| Coords.: 257,691 	|| Size: 19x13
Claim ID: 48 	|| Coords.: 589,362 	|| Size: 15x11
Claim ID: 49 	|| Coords.: 15,953 	|| Size: 22x29
Claim ID: 50 	|| Coords.: 160,738 	|| Size: 29x19
Claim ID: 51 	|| Coords.: 150,758 	|| Size: 10x17
Claim ID: 52 	|| Coords.: 337,83 	|| Size: 10x20
Claim ID: 53 	|| Coords.: 368,622 	|| Size: 18x15
Claim ID: 54 	|| Coords.: 807,420 	|| Size: 21x28
Claim ID: 55 	|| Coords.: 98,401 	|| Size: 13x15
Claim ID: 56 	|| Coords.: 488,41 	|| Size: 24x27
Claim ID: 57 	|| Coords.: 735,111 	|| Size: 11x22
Claim ID: 58 	|| Coords.: 556,847 	|| Size: 26x28
Claim ID: 59 	|| Coords.: 590,13 	|| Size: 13x20
Claim ID: 60 	|| Coords.: 945,694 	|| Size: 27x28
Claim ID: 61 	|| Coords.: 20,956 	|| Size: 23x11
Claim ID: 62 	|| Coords.: 587,647 	|| Size: 11x24
